Project Code,Region Name,Location Name,Area Name,Sub Area Name,Score,Tanggal,id_header
BRIN20230529,Bali,Arkenas Balar Bali,Security,Security Functions,97.5,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Driver,Driving Safety,97.5,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Driver,Attendance,97.5,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.1,Lobby,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.1,R Kasubag,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.1,R Tata Usaha,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.1,R Keuangan,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.1,Pantry,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.1,Toilet Pria & Wanita 1,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.1,Toilet Pria & Wanita 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,R Kepala,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,R Peneliti 1,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,R Peneliti 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,R Peneliti 3,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,R Peneliti 4,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,Pantry,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,R Rapat Kecil 1,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,R Rapat Kecil 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,Co Working Space,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,Toilet Pria & Wanita 1,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Utama Lt.2,Toilet Pria & Wanita 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.1,Ruang perlengkapan,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.1,R Dokumentasi,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.1,R Penggambaran,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.1,Gudang 1,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.1,Gudang 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.1,Co Working Space,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.1,Toilet Pria & Wanita 1,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.1,Toilet Pria & Wanita 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.2,Ruang Rapat Besar,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.2,Ruang Redaksi,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.2,Ruang Peneliti 1,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.2,Ruang Peneliti 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.2,Ruang Peneliti 3,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.2,Toilet Pria & Wanita,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Blok Barat Lt.2,Toilet Pria & Wanita 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Pameran,Ruang Pameran,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Pameran,Ruang Mess,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Pameran,Toilet Pria / Wanita,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Perpustakaan Lt.1,Ruang Laboratorium,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Perpustakaan Lt.1,Toilet Pria & Wanita 1,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Perpustakaan Lt.1,Toilet Pria & Wanita 2,95,2023-01-31,1
BRIN20230529,Bali,Arkenas Balar Bali,Gedung Perpustakaan Lt.2,Ruang Perpustakaan,95,2023-01-31,1
